127.0.0.1 - - [24/Jun/2021:18:17:29 -0300] "GET / HTTP/1.1" 404 634
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:17:30 -0300] "GET /Tp_integrador_grupo_2/ HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:17:43 -0300] "GET /Tp_integrador_grupo_2/login.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:17:47 -0300] "GET /Tp_integrador_grupo_2/home.jsp?usuario=&pass= HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:18:13 -0300] "GET /Tp_integrador_grupo_2/prestamos.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:18:16 -0300] "GET /Tp_integrador_grupo_2/pedir_prestamo.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:22:00 -0300] "GET /Tp_integrador_grupo_2/pedir_prestamo.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:22:00 -0300] "GET /favicon.ico HTTP/1.1" 404 645
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:25:18 -0300] "GET /Tp_integrador_grupo_2/pedir_prestamo.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:25:43 -0300] "GET /Tp_integrador_grupo_2/pedir_prestamo.jsp HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:26:12 -0300] "GET /Tp_integrador_grupo_2/home.jsp HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:26:15 -0300] "GET /Tp_integrador_grupo_2/prestamos.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:26:19 -0300] "GET /Tp_integrador_grupo_2/transferir.jsp HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [24/Jun/2021:18:28:10 -0300] "GET /Tp_integrador_grupo_2/transferir.jsp HTTP/1.1" 404 670
